Date,Price,Open,High,Low,Vol.,Change %
03-04-2024,76.17,76.06,76.94,75.81,13.61M,1.51%
04-04-2024,78.03,77.11,78.1,77.1,9.85M,2.44%
05-04-2024,77.87,77.8,78,77.01,10.07M,-0.21%
08-04-2024,80.53,79.3,80.71,79.21,11.70M,3.42%
09-04-2024,81.01,80.98,81.14,80.16,9.66M,0.60%
10-04-2024,80.92,81.47,81.47,80.8,6.19M,-0.11%
12-04-2024,82.86,82.5,82.98,81.51,9.40M,2.40%
15-04-2024,81.46,81.98,82.17,81,7.86M,-1.69%
16-04-2024,81.83,82.02,82.6,81.58,4.97M,0.45%
18-04-2024,81.79,81.83,82,81.52,4.11M,-0.05%
19-04-2024,81.55,81.97,81.98,81.26,3.11M,-0.29%
22-04-2024,80.28,80.83,80.93,79.76,7.83M,-1.56%
23-04-2024,78.57,78.57,78.75,78.1,15.86M,-2.13%
24-04-2024,79.11,79.6,80.06,78.95,3.83M,0.69%
25-04-2024,79.34,78.61,79.56,78.61,3.79M,0.29%
26-04-2024,79.78,79.69,80.06,79.41,3.02M,0.55%
29-04-2024,79.43,79.45,79.54,79.05,3.53M,-0.44%
30-04-2024,78.56,78.99,78.99,78.26,4.08M,-1.10%
02-05-2024,78.43,78.56,79,78.21,4.41M,-0.17%
03-05-2024,78.66,78.61,79.07,78.43,3.57M,0.29%
06-05-2024,79.78,79.6,81,79.01,4.78M,1.42%
07-05-2024,80.06,80.05,80.88,79.8,3.41M,0.35%
08-05-2024,79.78,80.12,80.49,79.5,3.50M,-0.35%
09-05-2024,80.55,80.5,80.93,80.23,2.89M,0.97%
10-05-2024,83.01,81.9,83.08,81.8,6.72M,3.05%
13-05-2024,81.97,82.5,83.5,81.61,4.76M,-1.25%
14-05-2024,82.57,82.36,82.84,82.26,5.15M,0.73%
15-05-2024,83.09,82.6,83.26,82.6,3.08M,0.63%
16-05-2024,84.34,84.2,84.85,84.12,6.01M,1.50%
17-05-2024,84.8,84.49,84.98,84.11,3.89M,0.55%
21-05-2024,91.03,90.32,91.35,90.09,9.89M,7.35%
22-05-2024,90.81,91.05,91.8,90.72,7.81M,-0.24%
23-05-2024,88.06,88.94,88.94,87.2,7.51M,-3.03%
24-05-2024,88.01,87.64,88.28,87.33,5.36M,-0.06%
27-05-2024,88.97,88.42,89.28,88.42,3.55M,1.09%
28-05-2024,91.2,91.12,91.79,90.16,6.14M,2.51%
29-05-2024,92.46,92.33,93.08,92.1,5.34M,1.38%
30-05-2024,90.85,91.7,91.79,90.47,4.11M,-1.74%
31-05-2024,90.6,90,90.77,89.55,3.40M,-0.28%
03-06-2024,88.12,88.44,88.44,87,11.07M,-2.74%
04-06-2024,87.31,89,89.49,86.28,7.66M,-0.92%
05-06-2024,86.77,87,87.3,86.21,4.16M,-0.62%
06-06-2024,88.84,89.35,89.8,88.21,4.37M,2.39%
07-06-2024,89.38,90.33,91.85,89.01,6.24M,0.61%
10-06-2024,87.34,87.2,87.4,86.27,12.48M,-2.28%
11-06-2024,86.21,86.4,86.58,85.83,10.86M,-1.29%
12-06-2024,86.82,87.13,87.14,86.65,7.53M,0.71%
13-06-2024,86.58,86.49,86.75,86.06,9.03M,-0.28%
14-06-2024,86.11,86.24,86.24,85.67,13.58M,-0.54%
18-06-2024,86.26,87.48,87.49,86.12,4.73M,0.17%
19-06-2024,86.92,87.48,87.48,86.43,4.23M,0.77%
20-06-2024,88.5,87.81,88.75,87.81,5.54M,1.82%
21-06-2024,88.7,89.01,89.48,88.31,5.41M,0.23%
24-06-2024,86.99,87.29,87.36,86.16,6.13M,-1.93%
25-06-2024,86.81,86.74,86.94,86.02,5.29M,-0.21%
26-06-2024,85.27,85.59,85.64,84.64,13.21M,-1.77%
27-06-2024,85.06,86,86,84.5,4.86M,-0.25%
28-06-2024,85.9,85.89,86.09,85.23,3.33M,0.99%
01-07-2024,85.58,87,87,85.05,4.96M,-0.37%
02-07-2024,85.95,85.66,86.25,85.65,3.65M,0.43%
03-07-2024,87.44,86.9,87.67,86.33,5.85M,1.73%
04-07-2024,87.89,88.47,88.48,87.5,5.47M,0.51%
05-07-2024,88.68,88.69,88.78,88.15,4.99M,0.90%
08-07-2024,89.44,100,100,89.12,4.89M,0.86%
09-07-2024,89.86,89.49,89.94,89.12,4.54M,0.47%
10-07-2024,89.7,89.55,89.8,89.05,3.86M,-0.18%
11-07-2024,90.03,90.2,90.2,89.8,3.76M,0.37%
12-07-2024,89.61,90.17,90.4,89.25,6.11M,-0.47%
15-07-2024,89.4,89.92,89.95,89.12,4.89M,-0.23%
16-07-2024,89.78,89.78,89.89,89.4,3.27M,0.43%
18-07-2024,89.43,89.24,89.52,89.01,5.57M,-0.39%
19-07-2024,86.91,88.19,89,86.76,9.74M,-2.82%
22-07-2024,86.3,86.99,86.99,86.06,4.93M,-0.70%
23-07-2024,83.51,86.9,87.1,82.34,17.58M,-3.23%
24-07-2024,82.91,86.01,86.09,82.5,12.16M,-0.72%
25-07-2024,79.87,82.71,82.71,79.52,21.28M,-3.67%
26-07-2024,79.8,79.9,80.39,79.49,10.82M,-0.09%
29-07-2024,80.36,81.01,81.01,80,10.63M,0.70%
30-07-2024,80,79.99,80.24,79.7,7.41M,-0.45%
31-07-2024,81.84,81.01,82,81.01,6.99M,2.30%
01-08-2024,82.34,82.05,82.6,82.05,5.72M,0.61%
02-08-2024,82.04,82,82.8,81.91,6.41M,-0.36%
05-08-2024,78.94,82.05,82.05,78.76,10.12M,-3.78%
06-08-2024,77.29,79.16,79.16,76.7,18.41M,-2.09%
07-08-2024,78.57,78.99,79.25,77.52,9.02M,1.66%
08-08-2024,77.35,78.5,78.5,77.26,12.41M,-1.55%
09-08-2024,78.7,79.36,79.39,78,8.94M,1.75%
12-08-2024,79.84,78.21,79.97,78.21,7.14M,1.45%
13-08-2024,79.31,79.65,79.77,79.14,4.17M,-0.66%
14-08-2024,79.62,79.48,79.8,79,7.60M,0.39%
16-08-2024,80.01,79.95,80.38,79.71,5.38M,0.49%
19-08-2024,82,81.41,82.3,81.41,7.03M,2.49%
20-08-2024,83.37,82.33,83.41,82.32,7.02M,1.67%
21-08-2024,82.95,82.99,83.15,82.71,6.11M,-0.50%
22-08-2024,82.9,83.09,83.09,82.49,2.98M,-0.06%
23-08-2024,82.48,82.25,82.6,81.96,4.07M,-0.51%
26-08-2024,84.13,82.8,84.24,82.71,7.00M,2.00%
27-08-2024,83.99,83.99,84.31,83.42,6.72M,-0.17%
28-08-2024,83.29,84.18,84.18,82.67,8.33M,-0.83%
29-08-2024,83.28,83.31,83.47,82.85,8.14M,-0.01%
30-08-2024,83.07,83.28,83.3,82.76,4.15M,-0.25%
02-09-2024,80.89,80.88,80.95,80.3,13.18M,-2.62%
03-09-2024,80.52,80.84,80.84,80.41,4.86M,-0.46%
04-09-2024,79.39,79.88,79.88,79.03,9.60M,-1.40%
05-09-2024,81.08,79.81,81.18,79.81,4.48M,2.13%
06-09-2024,81.32,81.28,81.5,81,4.75M,0.30%
09-09-2024,79.77,80.2,80.2,78.8,9.39M,-1.91%
10-09-2024,80.34,79.99,80.6,79.82,4.10M,0.71%
11-09-2024,81.29,80.6,81.43,80.43,4.30M,1.18%
12-09-2024,81.23,81.29,81.48,81.02,3.34M,-0.07%
13-09-2024,84.12,83.56,84.26,83.44,17.13M,3.56%
16-09-2024,86.24,85.7,86.4,85.7,18.26M,2.52%
17-09-2024,85.38,86.14,86.14,85.22,6.61M,-1.00%
18-09-2024,84.96,85.19,85.25,84.64,4.96M,-0.49%
19-09-2024,86.61,84.9,86.78,84.5,9.67M,1.94%
20-09-2024,86.48,86.1,86.65,86.02,6.58M,-0.15%
23-09-2024,85.35,86.48,86.58,84.91,9.11M,-1.31%
24-09-2024,86.13,86.22,86.61,85.7,6.78M,0.91%
25-09-2024,88.11,88.01,88.48,87.68,13.02M,2.30%
26-09-2024,88.99,88.8,89.06,88.3,8.69M,1.00%
27-09-2024,88.34,88.98,88.98,88.01,8.56M,-0.73%
30-09-2024,88.04,87.99,88.45,87.8,6.04M,-0.34%
01-10-2024,87.67,87.64,88.05,87.5,6.72M,-0.42%
03-10-2024,88.45,88.2,90.3,88.03,9.54M,0.89%
04-10-2024,89.86,89.5,90.12,89.45,10.98M,1.59%
07-10-2024,89.43,90.3,90.3,89.11,8.92M,-0.48%
08-10-2024,87.66,88.49,88.59,87.08,9.48M,-1.98%
09-10-2024,86.33,86.29,86.41,85.69,11.70M,-1.52%
10-10-2024,86.25,86.7,86.89,85.83,7.65M,-0.09%
11-10-2024,87.71,86.13,88.48,86.13,4.61M,1.69%
14-10-2024,88.39,87.82,88.51,87.82,5.65M,0.78%
15-10-2024,87.63,87.95,87.95,86.62,5.75M,-0.86%
16-10-2024,89.26,88.95,89.39,88.45,7.48M,1.86%
17-10-2024,88.59,88.69,88.9,88.12,4.59M,-0.75%
18-10-2024,89.81,89.33,89.95,89.28,6.99M,1.38%
21-10-2024,94.64,94.12,95,93.82,19.19M,5.38%
22-10-2024,94.88,94.84,95.15,94.33,10.90M,0.25%
23-10-2024,96.11,95.62,96.52,95.62,10.00M,1.30%
24-10-2024,95.12,94.58,95.18,94.08,10.06M,-1.03%
25-10-2024,92.65,93.48,93.55,92.45,10.06M,-2.60%
28-10-2024,93.63,93.23,94.1,93.01,8.61M,1.06%
29-10-2024,95.34,94.57,95.61,94.45,10.67M,1.83%
30-10-2024,95.67,95.41,95.95,95.35,8.20M,0.35%
31-10-2024,94.27,94.4,94.4,93.84,6.81M,-1.46%
01-11-2024,92.93,94.2,94.2,92.21,9.86M,-1.42%
04-11-2024,92.25,92.49,92.49,91.73,9.53M,-0.73%
05-11-2024,91.71,91.57,91.82,91.2,6.98M,-0.59%
06-11-2024,90.71,90.99,91.29,88.7,14.96M,-1.09%
07-11-2024,87.99,88.7,88.7,87.3,18.41M,-3.00%
08-11-2024,89.13,89.02,89.75,88.63,8.06M,1.30%
11-11-2024,88.48,88.47,88.74,88.11,5.23M,-0.73%
12-11-2024,85.86,87.18,87.19,85.7,16.34M,-2.96%
13-11-2024,87.61,87.22,87.79,87.21,7.25M,2.04%
14-11-2024,84.66,85.91,85.92,84.55,15.34M,-3.37%
18-11-2024,86.92,86.43,87.09,86.43,7.24M,2.67%
19-11-2024,88.82,88.22,88.9,88.13,5.77M,2.19%
21-11-2024,88.1,87.97,88.56,87.53,5.07M,-0.81%
22-11-2024,88.44,87.99,88.75,87.35,5.70M,0.39%
25-11-2024,86.87,87.44,87.44,86.26,8.62M,-1.78%
26-11-2024,86.01,85.96,86.14,85.24,8.33M,-0.99%
27-11-2024,86.59,86.44,87.04,86.15,6.41M,0.67%
28-11-2024,85.15,85.19,85.25,84.7,11.26M,-1.66%
29-11-2024,86.92,86.24,87.04,86.13,12.65M,2.08%
02-12-2024,86.04,86.29,86.29,85.6,5.64M,-1.01%
03-12-2024,87.63,86.85,87.7,86.51,6.48M,1.85%
04-12-2024,87.54,87.98,88.05,87.45,4.36M,-0.10%
05-12-2024,88.55,88.37,88.95,88.32,6.01M,1.15%
06-12-2024,88.49,88.68,88.75,88.11,4.02M,-0.07%
09-12-2024,88.71,88.19,88.83,87.61,5.60M,0.25%
10-12-2024,90.11,90.67,90.89,89.8,12.30M,1.58%
11-12-2024,90.05,90.99,90.99,89.95,6.00M,-0.07%
12-12-2024,91.27,91.17,91.48,90.52,5.93M,1.35%
13-12-2024,87.25,88.18,88.18,87.15,16.60M,-4.40%
16-12-2024,87.27,86.99,87.35,86.44,7.61M,0.02%
17-12-2024,86.38,87.27,87.27,86.15,7.74M,-1.02%
18-12-2024,86.73,86.84,86.94,86.52,2.73M,0.41%
19-12-2024,84.68,84.99,84.99,84.22,13.72M,-2.36%
20-12-2024,82.95,83.49,83.67,82.87,11.17M,-2.04%
23-12-2024,85.49,84.92,85.57,83.6,4.35M,3.06%
24-12-2024,85.3,85.8,86.09,85.22,3.42M,-0.22%
26-12-2024,85.43,85.95,85.98,85.2,3.91M,0.15%
27-12-2024,85.71,85.49,86.2,85.49,2.88M,0.33%
30-12-2024,84.95,86.85,86.85,84.7,5.29M,-0.89%
31-12-2024,83.73,83.87,83.87,83.26,6.75M,-1.44%
01-01-2025,83.85,83.59,84.25,83.27,3.20M,0.14%
02-01-2025,84.84,84.69,84.97,84.42,3.82M,1.18%
03-01-2025,85.86,85.95,85.95,85.2,5.12M,1.20%
06-01-2025,85.93,85.59,86,85.02,5.83M,0.08%
07-01-2025,87.07,86.72,87.1,86.48,5.03M,1.33%
08-01-2025,87.2,87.04,87.25,86.68,4.64M,0.15%
09-01-2025,87.27,87.57,87.57,86.9,5.40M,0.08%
10-01-2025,87.54,88.5,88.5,87.25,8.61M,0.31%
13-01-2025,87.29,87.79,88.4,87.14,12.72M,-0.29%
14-01-2025,86.27,86.18,86.54,85.68,6.12M,-1.17%
15-01-2025,87.32,86.7,87.43,86.47,4.69M,1.22%
16-01-2025,88.95,88.51,89,88.4,9.30M,1.87%
17-01-2025,87.65,88.38,88.39,87.56,5.11M,-1.46%
20-01-2025,87.73,87.38,88.05,87.02,3.02M,0.09%
21-01-2025,87.81,88.02,88.44,87.72,4.26M,0.09%
22-01-2025,88.61,88.22,88.75,88.21,4.20M,0.91%
23-01-2025,87.85,88.5,88.5,87.63,2.51M,-0.86%
24-01-2025,88.67,88.4,88.8,87.86,4.72M,0.93%
27-01-2025,87.59,87.84,87.94,87.02,5.55M,-1.22%
28-01-2025,87.1,87.18,87.4,86.65,4.58M,-0.56%
29-01-2025,88.01,87.75,88.09,87.63,4.35M,1.04%
30-01-2025,89.5,88.81,89.55,88.81,6.27M,1.69%
31-01-2025,90.67,90.02,90.81,90,7.85M,1.31%
01-02-2025,90.11,90.99,91,89.77,3.52M,-0.62%
03-02-2025,90.53,90,90.65,89.35,5.43M,0.47%
04-02-2025,91.09,91,91.27,90.66,4.22M,0.62%
05-02-2025,93.03,92.03,93.17,92.02,10.39M,2.13%
06-02-2025,91.84,92.64,92.64,91.31,11.01M,-1.28%
07-02-2025,92.73,92.12,92.78,92.12,4.16M,0.97%
10-02-2025,92.95,92.45,93,91.9,5.37M,0.24%
11-02-2025,91.37,92.28,92.28,91,6.10M,-1.70%
12-02-2025,91.29,91.37,91.77,90.75,3.82M,-0.09%
13-02-2025,92.75,92.25,92.93,92.23,4.62M,1.60%
14-02-2025,94.71,93.15,94.85,93.11,10.81M,2.11%
17-02-2025,92.86,93.99,93.99,92.05,7.45M,-1.95%
18-02-2025,93.21,92.66,93.35,92.66,4.52M,0.38%
19-02-2025,94.56,93.74,94.69,93.53,5.93M,1.45%
20-02-2025,94.56,94.48,94.79,94.01,4.27M,0.00%
21-02-2025,94.06,94.18,94.37,93.69,5.43M,-0.53%
24-02-2025,93.21,93.9,93.97,93.05,5.83M,-0.90%
25-02-2025,92.91,93.2,93.2,92.4,4.49M,-0.32%
27-02-2025,91.97,92.7,92.7,91.22,6.65M,-1.01%
28-02-2025,90.46,90.99,90.99,90.1,7.58M,-1.64%
03-03-2025,91.41,91,91.6,90.61,4.92M,1.05%
