"Date","Price","Open","High","Low","Vol.","Change %"
"31-03-2021","73.148","73.418","73.627","73.056","","-0.40%"
"30-03-2021","73.445","72.719","73.628","72.719","","0.95%"
"29-03-2021","72.755","72.531","72.764","72.480","","0.19%"
"26-03-2021","72.615","72.638","72.661","72.357","","-0.07%"
"25-03-2021","72.665","72.585","72.715","72.552","","0.10%"
"24-03-2021","72.595","72.565","72.728","72.502","","0.06%"
"23-03-2021","72.555","72.371","72.555","72.268","","0.24%"
"22-03-2021","72.380","72.450","72.536","72.312","","-0.05%"
"19-03-2021","72.413","72.661","72.715","72.413","","-0.39%"
"18-03-2021","72.700","72.342","72.729","72.324","","0.18%"
"17-03-2021","72.570","72.548","72.632","72.510","","0.08%"
"16-03-2021","72.515","72.515","72.642","72.368","","-0.03%"
"15-03-2021","72.535","72.661","72.789","72.380","","-0.21%"
"12-03-2021","72.690","72.664","72.876","72.630","","-0.01%"
"11-03-2021","72.700","72.757","72.802","72.580","","-0.04%"
"10-03-2021","72.730","72.811","73.107","72.728","","-0.06%"
"09-03-2021","72.776","73.329","73.394","72.776","","-0.80%"
"08-03-2021","73.360","73.205","73.409","72.933","","0.23%"
"05-03-2021","73.190","73.071","73.217","72.745","","0.62%"
"04-03-2021","72.739","72.886","73.113","72.599","","-0.28%"
"03-03-2021","72.940","73.241","73.290","72.692","","-0.44%"
"02-03-2021","73.260","73.388","73.513","73.260","","-0.20%"
"01-03-2021","73.405","73.592","73.789","73.174","","-0.72%"
"26-02-2021","73.937","72.963","74.072","72.949","","1.64%"
"25-02-2021","72.745","72.391","72.767","72.289","","0.49%"
"24-02-2021","72.390","72.390","72.475","72.268","","0.01%"
"23-02-2021","72.382","72.465","72.561","72.304","","-0.09%"
"22-02-2021","72.450","72.556","72.598","72.290","","-0.15%"
"19-02-2021","72.560","72.593","72.732","72.417","","-0.03%"
"18-02-2021","72.585","72.840","72.840","72.535","","-0.34%"
"17-02-2021","72.835","72.910","72.981","72.740","","-0.05%"
"16-02-2021","72.870","72.610","72.919","72.601","","0.34%"
"15-02-2021","72.624","72.603","72.696","72.513","","0.04%"
"12-02-2021","72.595","72.719","72.840","72.565","","-0.16%"
"11-02-2021","72.710","72.796","72.900","72.673","","-0.12%"
"10-02-2021","72.795","72.855","72.898","72.765","","-0.08%"
"09-02-2021","72.856","72.922","72.951","72.822","","-0.11%"
"08-02-2021","72.935","72.805","73.004","72.761","","0.16%"
"05-02-2021","72.815","72.989","73.034","72.770","","-0.19%"
"04-02-2021","72.955","72.826","72.997","72.826","","0.19%"
"03-02-2021","72.815","72.953","73.012","72.805","","-0.14%"
"02-02-2021","72.917","73.038","73.116","72.907","","-0.28%"
"01-02-2021","73.120","72.908","73.200","72.815","","0.29%"
"29-01-2021","72.906","72.935","73.060","72.829","","-0.05%"
"28-01-2021","72.944","73.033","73.193","72.889","","-0.17%"
"27-01-2021","73.070","72.904","73.092","72.790","","0.21%"
"26-01-2021","72.915","72.943","73.138","72.838","","-0.08%"
"25-01-2021","72.970","72.958","73.016","72.877","","-0.02%"
"22-01-2021","72.985","72.955","73.105","72.915","","0.02%"
"21-01-2021","72.970","72.924","73.056","72.900","","0.08%"
"20-01-2021","72.915","73.195","73.195","72.883","","-0.38%"
"19-01-2021","73.192","73.162","73.306","73.104","","0.01%"
"18-01-2021","73.188","73.128","73.327","73.128","","0.08%"
